experience_years,education_level,current_technology,job_title,required_technology,number_of_switches,career_switches
11,PhD,SQL,System Analyst,JavaScript,3,Data Scientist
16,Bachelor,SQL,System Analyst,C++,3,"Data Scientist,DevOps Engineer,System Analyst,DevOps Engineer"
10,Master,SQL,Data Scientist,JavaScript,2,"Software Engineer,Data Scientist,Product Manager,Software Engineer,DevOps Engineer"
18,Master,Java,System Analyst,Java,0,DevOps Engineer
10,Bachelor,C++,Software Engineer,Python,1,"System Analyst,System Analyst,DevOps Engineer"
13,Bachelor,SQL,Software Engineer,Java,4,Product Manager
3,PhD,JavaScript,DevOps Engineer,JavaScript,2,"Data Scientist,Product Manager,DevOps Engineer,Data Scientist"
19,PhD,JavaScript,Product Manager,Java,3,"System Analyst,Data Scientist"
4,Bachelor,Python,DevOps Engineer,Python,3,"DevOps Engineer,Product Manager,Data Scientist"
17,Bachelor,C++,Data Scientist,C++,3,"System Analyst,DevOps Engineer,DevOps Engineer,DevOps Engineer,System Analyst"
12,Master,SQL,Software Engineer,JavaScript,2,"System Analyst,DevOps Engineer"
17,PhD,Python,System Analyst,C++,2,"Data Scientist,Product Manager,Software Engineer,Software Engineer"
1,Master,C++,Data Scientist,JavaScript,3,"System Analyst,System Analyst"
10,Bachelor,C++,DevOps Engineer,Python,4,Software Engineer
3,Bachelor,Python,System Analyst,JavaScript,0,"System Analyst,Data Scientist,Software Engineer,System Analyst"
1,Bachelor,JavaScript,Data Scientist,Java,1,"DevOps Engineer,System Analyst"
9,PhD,Python,System Analyst,SQL,3,Data Scientist
6,Bachelor,Java,Software Engineer,JavaScript,3,"Data Scientist,Software Engineer,Product Manager,Software Engineer"
13,Bachelor,JavaScript,DevOps Engineer,Python,2,"Software Engineer,Data Scientist"
5,Bachelor,Python,Software Engineer,SQL,2,"Data Scientist,Data Scientist,Data Scientist,Software Engineer"
11,Master,Java,System Analyst,JavaScript,1,"DevOps Engineer,System Analyst"
13,Master,C++,Software Engineer,JavaScript,3,"Data Scientist,DevOps Engineer"
18,Bachelor,Java,Data Scientist,JavaScript,2,"DevOps Engineer,System Analyst,Product Manager,DevOps Engineer,Data Scientist"
5,PhD,JavaScript,Product Manager,SQL,2,"Data Scientist,Software Engineer,System Analyst"
7,Master,Java,Software Engineer,Python,4,"Product Manager,Data Scientist,System Analyst,Product Manager"
7,Bachelor,Java,Data Scientist,Python,4,System Analyst
18,PhD,JavaScript,Software Engineer,Python,4,"Software Engineer,Product Manager,DevOps Engineer,Software Engineer,Software Engineer"
5,Master,Python,System Analyst,SQL,2,"DevOps Engineer,Data Scientist,Software Engineer,Software Engineer"
17,Master,Java,Product Manager,C++,4,"Software Engineer,Data Scientist"
15,Master,SQL,Data Scientist,Java,0,"System Analyst,System Analyst,Product Manager,Software Engineer,Data Scientist"
1,Bachelor,SQL,Software Engineer,Python,0,"Data Scientist,System Analyst,System Analyst,Software Engineer"
18,PhD,JavaScript,Product Manager,Python,0,"Product Manager,DevOps Engineer,System Analyst"
13,Master,Python,Data Scientist,SQL,3,"DevOps Engineer,System Analyst,Software Engineer"
8,Master,Python,System Analyst,SQL,0,"System Analyst,Product Manager,Software Engineer,Product Manager,DevOps Engineer"
6,PhD,Python,Software Engineer,Python,0,System Analyst
1,Master,SQL,System Analyst,JavaScript,0,"System Analyst,System Analyst,Product Manager,DevOps Engineer,Software Engineer"
16,Bachelor,JavaScript,System Analyst,Java,4,"Data Scientist,Data Scientist"
2,Bachelor,Python,DevOps Engineer,SQL,0,"Software Engineer,Data Scientist"
10,Bachelor,Python,Data Scientist,C++,2,"System Analyst,System Analyst,System Analyst"
2,Bachelor,Python,Software Engineer,SQL,4,System Analyst
10,PhD,JavaScript,System Analyst,C++,0,"System Analyst,DevOps Engineer"
19,Master,C++,Product Manager,Python,3,"Product Manager,Product Manager,Data Scientist,Data Scientist,Product Manager"
12,PhD,Python,Software Engineer,JavaScript,1,"Data Scientist,System Analyst"
2,Master,Python,System Analyst,Java,3,"System Analyst,DevOps Engineer,Product Manager,System Analyst,DevOps Engineer"
8,Bachelor,C++,System Analyst,JavaScript,1,"Software Engineer,DevOps Engineer"
11,Master,SQL,Data Scientist,JavaScript,2,"System Analyst,DevOps Engineer,Product Manager,Product Manager"
16,Master,C++,Data Scientist,JavaScript,2,"Data Scientist,System Analyst,Data Scientist,Data Scientist"
15,Master,Java,Software Engineer,C++,2,Data Scientist
15,Master,JavaScript,DevOps Engineer,Python,4,"Product Manager,Data Scientist,System Analyst"
3,PhD,SQL,System Analyst,C++,0,"Data Scientist,DevOps Engineer,Software Engineer,Software Engineer"
15,PhD,C++,Product Manager,C++,0,System Analyst
19,PhD,SQL,DevOps Engineer,Python,4,DevOps Engineer
4,PhD,SQL,Data Scientist,JavaScript,4,"Product Manager,DevOps Engineer"
12,Master,C++,Product Manager,Java,4,"Product Manager,System Analyst,Product Manager,System Analyst,DevOps Engineer"
3,Bachelor,Java,DevOps Engineer,Python,3,Software Engineer
11,PhD,Python,Product Manager,JavaScript,2,"Data Scientist,Software Engineer,Software Engineer,System Analyst,DevOps Engineer"
8,Bachelor,C++,System Analyst,SQL,2,"System Analyst,Data Scientist,System Analyst"
6,Bachelor,SQL,Product Manager,C++,3,"DevOps Engineer,Product Manager,Product Manager,Software Engineer,DevOps Engineer"
6,Bachelor,C++,System Analyst,Python,3,"DevOps Engineer,Data Scientist,Product Manager"
16,Master,Python,Data Scientist,SQL,0,"Data Scientist,Software Engineer"
4,Master,JavaScript,DevOps Engineer,SQL,3,"Data Scientist,Data Scientist,System Analyst"
15,PhD,Python,Data Scientist,Java,3,"Product Manager,Software Engineer,DevOps Engineer,DevOps Engineer"
4,Bachelor,JavaScript,DevOps Engineer,Python,2,"DevOps Engineer,DevOps Engineer,Data Scientist,System Analyst,System Analyst"
12,Bachelor,C++,Software Engineer,Java,0,DevOps Engineer
17,Bachelor,C++,System Analyst,C++,2,"Product Manager,Data Scientist,Software Engineer,Software Engineer,System Analyst"
13,PhD,JavaScript,Data Scientist,Java,2,"DevOps Engineer,Software Engineer,Product Manager,Data Scientist,System Analyst"
5,Bachelor,SQL,DevOps Engineer,C++,0,"System Analyst,DevOps Engineer"
19,PhD,Python,Product Manager,JavaScript,0,Data Scientist
6,Master,JavaScript,Product Manager,JavaScript,2,"Data Scientist,Product Manager,System Analyst"
10,PhD,JavaScript,Data Scientist,Java,1,"DevOps Engineer,Software Engineer,System Analyst"
15,Master,JavaScript,Software Engineer,SQL,3,"System Analyst,Product Manager,Data Scientist,Product Manager,DevOps Engineer"
10,Bachelor,C++,Product Manager,JavaScript,0,"System Analyst,Data Scientist,DevOps Engineer"
8,Master,Python,DevOps Engineer,SQL,1,"System Analyst,System Analyst,Data Scientist,Software Engineer,Data Scientist"
10,Master,Java,DevOps Engineer,C++,0,"Software Engineer,DevOps Engineer,Product Manager,System Analyst"
11,Bachelor,SQL,System Analyst,JavaScript,2,"Product Manager,Product Manager"
9,Master,SQL,Software Engineer,Java,4,"DevOps Engineer,DevOps Engineer,Data Scientist,Product Manager"
10,Master,JavaScript,Product Manager,SQL,4,Product Manager
8,Master,SQL,System Analyst,SQL,2,"System Analyst,Product Manager,Data Scientist,Product Manager"
1,Master,JavaScript,Software Engineer,Python,0,System Analyst
8,PhD,Python,System Analyst,Python,4,"Software Engineer,DevOps Engineer,Data Scientist"
5,PhD,Python,DevOps Engineer,Python,0,"Data Scientist,Software Engineer,Data Scientist,Data Scientist,Software Engineer"
5,Master,Java,System Analyst,C++,4,Data Scientist
11,PhD,C++,Software Engineer,JavaScript,4,"DevOps Engineer,DevOps Engineer,System Analyst,DevOps Engineer"
5,PhD,C++,DevOps Engineer,Java,2,"System Analyst,Product Manager,Data Scientist"
12,Master,C++,Product Manager,SQL,1,"Data Scientist,System Analyst,Software Engineer,Product Manager"
8,PhD,C++,Product Manager,C++,3,"Product Manager,System Analyst,System Analyst,System Analyst,Software Engineer"
17,Master,Java,Data Scientist,SQL,4,"Product Manager,Product Manager,Data Scientist,DevOps Engineer,Data Scientist"
13,Bachelor,JavaScript,System Analyst,JavaScript,2,"Product Manager,Data Scientist,System Analyst"
13,PhD,C++,Software Engineer,Python,2,"Product Manager,Software Engineer,Software Engineer,Software Engineer"
14,PhD,C++,System Analyst,JavaScript,2,"System Analyst,System Analyst,System Analyst,Software Engineer"
14,Bachelor,Java,DevOps Engineer,JavaScript,3,"Product Manager,System Analyst,Software Engineer"
15,Master,Java,Product Manager,SQL,0,"DevOps Engineer,Product Manager"
8,Master,C++,Software Engineer,C++,3,"DevOps Engineer,Product Manager"
12,Bachelor,C++,DevOps Engineer,C++,4,Software Engineer
3,Master,Python,DevOps Engineer,SQL,2,"DevOps Engineer,DevOps Engineer,System Analyst,DevOps Engineer"
18,Master,Java,System Analyst,C++,2,"Data Scientist,Product Manager,Data Scientist,System Analyst"
8,Bachelor,JavaScript,System Analyst,Python,3,"Software Engineer,Data Scientist,System Analyst,DevOps Engineer"
6,PhD,Python,System Analyst,C++,0,"System Analyst,Data Scientist,Product Manager"
9,Bachelor,C++,Data Scientist,JavaScript,0,"Product Manager,DevOps Engineer,Data Scientist,Product Manager,Data Scientist"
2,PhD,SQL,System Analyst,SQL,4,Product Manager
7,Master,Python,Software Engineer,SQL,3,"Product Manager,DevOps Engineer,Product Manager"
11,Master,Java,Software Engineer,SQL,4,"Software Engineer,System Analyst,Data Scientist"
1,PhD,SQL,System Analyst,SQL,1,Data Scientist
10,Master,C++,Product Manager,Java,0,Product Manager
5,PhD,JavaScript,DevOps Engineer,SQL,1,"Data Scientist,System Analyst,Product Manager"
13,PhD,Python,Product Manager,Java,2,Product Manager
11,Bachelor,Python,Software Engineer,Python,4,"DevOps Engineer,Product Manager,DevOps Engineer"
19,PhD,Java,DevOps Engineer,SQL,2,"DevOps Engineer,DevOps Engineer,DevOps Engineer,Product Manager,Software Engineer"
19,Bachelor,Python,Data Scientist,SQL,2,"System Analyst,Data Scientist,DevOps Engineer"
8,Master,C++,System Analyst,Python,2,"Data Scientist,DevOps Engineer,Software Engineer"
14,Bachelor,C++,System Analyst,Python,3,"Data Scientist,Product Manager"
5,PhD,JavaScript,DevOps Engineer,SQL,2,"Data Scientist,Software Engineer,System Analyst,System Analyst,System Analyst"
3,Master,JavaScript,Product Manager,SQL,4,"Product Manager,System Analyst,DevOps Engineer"
12,Master,C++,Product Manager,Java,2,"Product Manager,Software Engineer,Data Scientist,Data Scientist,System Analyst"
1,Master,JavaScript,Software Engineer,Java,4,Software Engineer
8,PhD,C++,Product Manager,JavaScript,4,"DevOps Engineer,Data Scientist,Product Manager,System Analyst"
6,Bachelor,C++,Product Manager,SQL,3,"Data Scientist,System Analyst,Software Engineer"
5,Bachelor,Python,DevOps Engineer,SQL,3,"Product Manager,Data Scientist,DevOps Engineer,Data Scientist,Software Engineer"
19,Bachelor,C++,Data Scientist,Python,3,Data Scientist
4,Master,Python,System Analyst,SQL,2,"Product Manager,Data Scientist,DevOps Engineer,Software Engineer"
2,PhD,C++,Software Engineer,Python,2,"Product Manager,Product Manager,Software Engineer"
18,Master,C++,Data Scientist,C++,4,"Software Engineer,Software Engineer,Data Scientist,Data Scientist"
13,Bachelor,Python,DevOps Engineer,SQL,2,"DevOps Engineer,Data Scientist,Software Engineer,Data Scientist,Data Scientist"
10,Bachelor,SQL,System Analyst,Java,4,"System Analyst,Software Engineer,Software Engineer"
3,Bachelor,SQL,Data Scientist,JavaScript,4,"Software Engineer,DevOps Engineer"
10,Master,Java,Product Manager,SQL,4,"Software Engineer,System Analyst,System Analyst,Data Scientist"
18,Bachelor,Java,Product Manager,Java,3,"Software Engineer,Data Scientist,System Analyst,System Analyst"
18,PhD,SQL,Software Engineer,Java,4,Software Engineer
4,Master,Python,System Analyst,C++,0,"Software Engineer,Data Scientist,DevOps Engineer,DevOps Engineer,System Analyst"
