Name,Age,Job_switches,Career,Education,Experience
QvaLAHRVFI,50,0,UX/UI Designer,PhD,24
KvvQkcJyCX,37,5,DevOps Engineer,PhD,22
zaCTeYTEwc,47,1,DevOps Manager,Bachelors,9
DZBTCdQEXD,27,2,Engineering Manager,PhD,26
KUcBsUDIot,47,2,Senior Systems Engineer,Bachelors,32
ABnyFLMGyN,49,3,Data Scientist,PhD,37
yLDanNvzfI,59,1,Web developer,Masters,13
YynuRQHXzs,49,3,Data Analyst,PhD,6
SMhoONbueO,21,3,DevOps Manager,PhD,21
aWhsfftalw,34,6,Senior Systems Engineer,Bachelors,18
HFHlvjmTkI,49,5,UX/UI Designer,PhD,19
mGWEjiDunP,57,5,Data Analyst,PhD,23
FyEbpbpEQq,27,2,Data Scientist,Bachelors,31
GfxQqTbUYy,32,6,Data Scientist,Masters,27
yiqbylenPV,48,1,Product Manager,Bachelors,18
ycrtoqZltK,27,4,Data Analyst,PhD,4
WnmYPMSQAY,33,3,UX/UI Design Lead,PhD,7
STJmyPNEFy,59,2,Technical Project Manager,Masters,5
sJbFZIUyCI,23,1,DevOps Manager,Bachelors,37
BBIDsJNHhK,47,6,DevOps Manager,Masters,2
wTSePTTNHx,56,5,UX/UI Designer,PhD,2
PQzWynsznv,50,4,Software Engineer,Bachelors,14
UlYUPBTJnN,29,4,UX/UI Designer,Bachelors,1
yJroPrNpkg,40,2,Web developer,Bachelors,2
PXfCUWJort,26,1,Systems Engineer,Masters,11
FAPniOTbzb,55,6,DevOps Manager,Bachelors,12
TQmRHkVWlG,52,4,DevOps Engineer,Masters,26
FcAkgHxGDM,47,2,Technical Project Manager,PhD,19
lujbyafrbU,48,3,DevOps Engineer,PhD,8
gfUJJbXlqT,60,1,DevOps Manager,Bachelors,36
VCVqyuFlIL,46,1,Engineering Manager,Masters,16
JHqOmawHfw,60,2,Senior Systems Engineer,PhD,37
ZChPEzRLnA,58,1,Technical Support Specialist,Bachelors,38
DQWPYhsGag,60,0,DevOps Engineer,Masters,28
TSOiIVoiGX,21,0,UX/UI Designer,Masters,14
LvSQqvjVpe,58,0,DevOps Engineer,Bachelors,37
fXeGXGWujz,31,0,Web developer,PhD,12
govHBjkgpM,46,6,UX/UI Design Lead,Masters,15
zvuEQrNtIB,26,3,Engineering Manager,Bachelors,8
ogAnaIxvnQ,26,4,DevOps Engineer,PhD,1
ZsXIznzEpG,28,2,Senior Systems Engineer,PhD,15
ZWvQYZXFlm,48,4,Web developer,PhD,10
rNWmXrseiF,46,4,Technical Support Specialist,Bachelors,25
cvCdtuIUMu,43,0,Product Manager,Masters,13
aWpfBFzJwf,56,3,Technical Support Specialist,Masters,28
QZvjbvVEEz,30,1,Senior Systems Engineer,PhD,7
qZXXergldT,28,3,Data Scientist,PhD,24
cwgQHHTYTC,60,2,Data Scientist,PhD,36
dsSjTMjPwd,43,0,Data Scientist,Bachelors,40
KNchIhqYuM,32,3,Web developer,Bachelors,0
CLNrMhHClU,60,4,DevOps Engineer,Bachelors,33
lzYHfEjLFZ,53,0,UX/UI Designer,PhD,2
AOpxHwjpNq,34,4,Software Engineer,Bachelors,26
TdmMFGRLXV,28,2,Engineering Manager,Bachelors,6
lVeZpMTnIb,27,1,Data Scientist,PhD,34
ZhAjVOoahD,40,3,Web developer,Bachelors,23
aiQlBDnacf,34,3,UX/UI Designer,Bachelors,14
hMOkiSbIug,51,0,Technical Project Manager,Bachelors,6
UDGAtApawS,22,5,UX/UI Designer,Bachelors,1
oVBzLbMLvt,31,2,Senior Systems Engineer,Bachelors,33
aHxAwrcOnx,60,1,Senior Systems Engineer,PhD,40
GLQkLBiHqe,34,6,Software Engineer,Bachelors,2
bYnJuAMFji,56,5,Systems Engineer,PhD,1
yBVbffwcQl,33,0,Engineering Manager,PhD,35
bFHCEwjdoN,52,3,Web developer,PhD,27
FgJbdwvwDu,60,5,Engineering Manager,Masters,17
EeLDiKdfmS,24,0,Technical Project Manager,Bachelors,7
ftjuBDKKSW,57,5,Systems Engineer,Masters,33
viMLLtIzgu,60,3,DevOps Engineer,PhD,21
fGbKzgqwut,39,0,Technical Project Manager,Bachelors,9
DoWiFAZYbh,35,4,Technical Project Manager,PhD,11
hUKepovDUQ,26,4,Technical Project Manager,Bachelors,28
AzZQAqGSqP,57,3,DevOps Engineer,Masters,6
FZJgWqASQJ,46,6,UX/UI Designer,Bachelors,2
NBnVQAwciN,25,6,Systems Engineer,PhD,18
AziHZUbBZs,22,1,Product Manager,PhD,16
rfoUTmSeQv,33,1,Software Engineer,Masters,8
imKIWATgpV,58,5,UX/UI Designer,Bachelors,29
qQlIPAGINw,44,5,UX/UI Design Lead,Bachelors,4
rHconMPzGB,20,2,Technical Support Specialist,Bachelors,36
ZiJDbfMuyu,47,2,UX/UI Designer,Bachelors,32
xLjWwdDduq,54,0,UX/UI Designer,PhD,10
ElOjBROenJ,47,2,Data Analyst,Masters,6
KZzoyYrOpS,29,5,Data Scientist,PhD,14
KdnBhMHQkC,24,3,Data Analyst,Bachelors,32
ZutQNFoFUX,54,6,Data Scientist,Bachelors,39
tWwgFUdJuS,26,6,Technical Support Specialist,Masters,24
qQhVVrBtKz,33,0,DevOps Engineer,Bachelors,21
XHLwweNOyg,43,1,Technical Support Specialist,PhD,18
CsmkrOovkF,22,4,UX/UI Designer,Masters,16
rIsXbumeGm,36,6,DevOps Engineer,PhD,13
QCUmUWTWnC,23,3,Software Engineer,Masters,26
FpoxPmBhJX,59,0,Technical Support Specialist,PhD,3
zLbsMuGXaS,52,4,Systems Engineer,PhD,8
RKQfhhdboS,32,1,DevOps Engineer,Masters,40
WUILRpjJwU,45,4,Data Analyst,Masters,25
cOlGcfQZgY,52,5,Data Analyst,Bachelors,16
gbvuAKMFEA,38,6,Systems Engineer,Bachelors,11
BBpgwVzYIw,21,5,UX/UI Designer,PhD,16
nqoWmWmcmU,60,1,Product Manager,Masters,37
sijmPrPmlP,53,6,Senior Systems Engineer,PhD,32
ufyvllmpbc,49,5,Technical Support Specialist,Masters,13
jACeOKuVwN,39,2,Technical Support Specialist,PhD,24
mGIqCazylf,58,0,Technical Support Specialist,PhD,1
GwJhmFnRzR,30,0,Engineering Manager,Masters,25
oNkiUcjCkV,38,2,DevOps Manager,Bachelors,10
tDdyBxJBMP,36,3,Data Analyst,Masters,19
LtmIkcxnmP,56,1,Data Scientist,Bachelors,9
vsplVXnpJw,28,2,UX/UI Designer,Bachelors,5
lIabiFpIkY,53,4,Technical Project Manager,Bachelors,28
LCxTVeeajp,56,4,UX/UI Designer,Bachelors,5
ATzrHYAxLW,20,1,Systems Engineer,PhD,31
xmvCwxjEJI,25,3,UX/UI Design Lead,PhD,38
IJzwRQnKRO,53,6,Systems Engineer,PhD,22
JyCEfaCAOy,30,1,Data Scientist,PhD,26
mLTTLwWgAl,57,4,Technical Support Specialist,Masters,22
qLukTbhtut,43,1,Technical Project Manager,Masters,31
FmCCdWFGhm,25,0,Data Analyst,Bachelors,19
sbETkGLzAO,35,0,Data Scientist,PhD,3
wQiYCcYVys,38,6,DevOps Manager,Masters,25
rFrwksQwFg,34,5,Systems Engineer,Bachelors,3
RbEvJADQea,46,1,DevOps Manager,Bachelors,21
TqQVIGhiry,36,1,Engineering Manager,Masters,13
DHuYyHQkuj,25,1,Senior Systems Engineer,Masters,6
obfrSvALqa,35,6,Product Manager,Masters,1
sPQZTIyWsH,48,6,Engineering Manager,PhD,0
BLLUfeoyQm,26,3,Product Manager,Masters,31
BvqZkbUnSP,40,5,Senior Systems Engineer,Masters,37
WHuudcTYYf,57,6,DevOps Manager,Masters,1
SnQkSGqJDZ,22,4,Data Analyst,PhD,11
sEjdEVeVON,41,2,Senior Systems Engineer,Bachelors,40
qgdGTgAhty,55,5,Product Manager,PhD,7
PSMbBArsvf,53,5,DevOps Manager,Masters,1
QtTwhzGJYl,51,1,Engineering Manager,Bachelors,12
PKYBQzFJEi,58,2,UX/UI Designer,Masters,7
TSCzscjBhf,50,2,UX/UI Design Lead,Bachelors,26
xgbZfOCmLR,20,1,UX/UI Designer,Masters,8
fizYZYBroG,59,1,Software Engineer,Bachelors,3
VOeKhhGvKI,58,3,Engineering Manager,Masters,29
ETwDZBMdpw,25,0,Data Analyst,Bachelors,15
FGqeWKydJQ,49,2,DevOps Engineer,PhD,27
qbTZxhgcaq,52,4,DevOps Engineer,PhD,11
aVtWBIekHJ,53,1,DevOps Manager,Bachelors,3
QFhegZDLuZ,25,6,DevOps Engineer,Bachelors,8
wyxfZRaFWq,48,5,Technical Support Specialist,Bachelors,3
RfhEOxDszg,46,0,Technical Project Manager,PhD,22
pQHnmCIXVm,38,0,Data Scientist,Bachelors,13
dmKePEOzUc,60,3,Software Engineer,Masters,13
GhvXSFgvrD,49,6,Engineering Manager,Masters,30
QLBCrPHuCa,22,1,Technical Support Specialist,PhD,36
lZOOAyJCMc,46,5,Data Analyst,Bachelors,39
ciqMVCYTpe,34,2,Senior Systems Engineer,Masters,11
HfqtPHKbBF,39,0,Engineering Manager,PhD,1
ErgcBGlsej,44,3,Technical Support Specialist,Masters,36
ZPkugaMNXb,47,0,Engineering Manager,Masters,23
boawiCRWHU,36,3,Engineering Manager,Bachelors,36
ZELIVhgyaQ,25,1,Product Manager,Bachelors,18
FHqrJjSxXy,33,0,Data Scientist,PhD,3
DUMbGrtCyu,51,3,DevOps Engineer,Masters,12
VWVPHjjtUW,23,1,UX/UI Design Lead,Masters,36
BdJAfaYcwC,44,5,Technical Support Specialist,PhD,23
UYCuxPaicb,32,0,DevOps Engineer,PhD,38
BOffOlMPjV,32,5,Technical Support Specialist,PhD,27
ORrMiCxUKt,46,0,Technical Support Specialist,Bachelors,16
EskHbboJBx,36,0,Data Analyst,Masters,29
NvlMGvaHPN,47,6,Data Scientist,PhD,26
BNAmdneENC,43,4,UX/UI Designer,Masters,30
iWGqnaPrgY,32,5,Web developer,PhD,34
AlwcfXejJw,59,2,Software Engineer,Bachelors,6
hzeyKTFeMn,54,5,Engineering Manager,PhD,28
ffvQQzBNJs,45,4,Software Engineer,PhD,40
YPljYJoinF,49,3,Technical Support Specialist,PhD,20
LLqFmRbSJD,43,0,DevOps Engineer,PhD,36
ClGjqipcjC,51,0,Data Scientist,PhD,12
GxpXZUizlV,34,5,Data Scientist,PhD,12
oYTqhqTnHb,50,6,UX/UI Designer,Masters,25
vYITrZpJKs,37,4,Engineering Manager,PhD,40
BvDbFVBwzX,55,3,Systems Engineer,Masters,21
PcohmdbNMD,30,1,Engineering Manager,PhD,14
GzsJBaetLA,31,6,Software Engineer,PhD,14
QqFNRcaDYw,31,1,Engineering Manager,Masters,20
yLWjcgrwtM,60,1,DevOps Manager,Bachelors,9
iPEEtquXaT,25,3,Product Manager,PhD,23
FwyguuQFnx,38,5,Senior Systems Engineer,Masters,12
AJYRjEastG,40,6,Technical Project Manager,PhD,12
rmwhOTDnfx,49,6,UX/UI Design Lead,Masters,18
YVIasWoBdk,54,6,Technical Support Specialist,Masters,37
qCrXjneNJq,38,3,Web developer,Masters,36
yCvaGSGrGy,46,4,Senior Systems Engineer,Masters,29
gvnoLmXkbl,39,4,DevOps Engineer,PhD,15
FzOTBVVljq,47,0,UX/UI Designer,PhD,32
lfmIVMvylu,48,2,DevOps Engineer,PhD,26
VIFaaOvtIg,49,0,DevOps Manager,PhD,18
kPWgwEvGtz,56,1,UX/UI Design Lead,Masters,34
PJMNKndrsr,35,5,Senior Systems Engineer,Masters,5
dDoZKHvjzP,51,5,Product Manager,Masters,39
KimtcqifTY,22,5,DevOps Engineer,PhD,14
EdZpQGlvlz,46,0,Data Analyst,Bachelors,19
ynkfAYWOfD,21,1,Product Manager,PhD,28
SdtkXaLKiY,21,0,Senior Systems Engineer,PhD,26
kagrNAAyFm,50,0,DevOps Manager,PhD,22
uNwJfcbahB,20,6,Software Engineer,Masters,4
FWiBJukUky,31,6,Product Manager,Masters,24
LbFTPTUCli,51,3,Data Scientist,Bachelors,16
gcpIsguyTr,34,1,DevOps Manager,Masters,12
mdkrDNXkFq,42,1,Data Scientist,Masters,12
hdeNwkRfRo,42,5,Engineering Manager,Bachelors,28
wdTtLoBOYS,52,5,DevOps Manager,Masters,15
rCZjouxAEB,25,0,UX/UI Designer,Bachelors,14
MSHePFAZAq,31,4,UX/UI Designer,Masters,14
dcQgaOYkwY,53,5,UX/UI Designer,Masters,20
lpjMTAOsGS,55,2,Data Scientist,PhD,23
PQULrEFhet,43,6,DevOps Engineer,PhD,4
FFCSUEdsFo,25,2,Technical Project Manager,Bachelors,36
nOyvQvjyKt,20,0,Technical Support Specialist,Bachelors,21
rjYeMAYmjY,26,5,DevOps Manager,Masters,30
jQTvETRaKM,42,2,DevOps Manager,Bachelors,15
FPzmzPAYvJ,60,5,Data Scientist,Masters,28
JzfjlJGlVX,27,4,UX/UI Designer,Masters,36
rtCOJwFAUm,43,5,UX/UI Designer,Masters,36
gVtcHsxpkT,43,5,Technical Project Manager,PhD,39
WMxGJrwGWB,26,6,DevOps Engineer,Masters,21
YuRDtjXdLK,39,5,Data Scientist,PhD,26
lyDuKKxLwy,54,1,UX/UI Design Lead,Masters,36
djRhDNMWLG,45,5,Data Analyst,PhD,3
JraSTogQzB,35,0,Senior Systems Engineer,Bachelors,32
zfWWQEUGnd,26,3,Technical Support Specialist,PhD,32
quNtXTiIcM,26,2,Web developer,Masters,37
GClBsAEreW,50,1,Software Engineer,Bachelors,38
lVprirutSH,28,3,Data Scientist,PhD,31
ChliGZCMUw,34,4,UX/UI Design Lead,Bachelors,36
eEkAJMKeBr,33,1,Data Scientist,Bachelors,26
aZBgaRpQCq,23,2,Product Manager,Masters,29
GraISDSVub,42,5,Systems Engineer,PhD,25
VRIVSndInU,47,0,Technical Project Manager,Masters,38
UPtzEfLaQy,24,2,UX/UI Design Lead,PhD,7
aajPSAruhM,40,5,UX/UI Design Lead,Masters,31
gEBrttpsxZ,32,0,DevOps Engineer,PhD,8
COQuyHBvAV,23,5,UX/UI Designer,PhD,22
nIQtcwrmdz,33,5,DevOps Manager,Bachelors,35
nqzSyIsnCn,31,5,Data Scientist,Bachelors,6
ONaGjBLiiw,51,0,Technical Support Specialist,Masters,10
fvCvUIXHmP,39,5,Software Engineer,Bachelors,5
VyrGhGnmAR,32,0,Senior Systems Engineer,PhD,30
jCwFHKIgwk,51,1,Data Analyst,PhD,31
QAUJrEJQZB,53,3,Systems Engineer,Masters,11
iAjyiCjVoe,27,3,Data Analyst,Bachelors,23
THJhAmBJhq,47,3,Engineering Manager,PhD,13
TUGSkeInTw,37,2,Product Manager,Bachelors,28
IuQxLXdgwz,37,4,UX/UI Designer,Masters,26
HUoRTvwynS,57,0,UX/UI Designer,Bachelors,17
rLHxOcPPbq,26,4,DevOps Engineer,Masters,11
lAkceZbMwQ,28,4,Systems Engineer,Masters,32
uSnxjjRnpU,40,5,Software Engineer,Bachelors,30
FcbSymbryL,27,0,Engineering Manager,Bachelors,21
xAQTaPWRqi,49,4,Senior Systems Engineer,Bachelors,19
PNuQhYtVDj,21,6,Data Scientist,PhD,9
LadBcuXjOh,34,6,Data Analyst,PhD,19
AGACawqNep,23,5,Product Manager,Masters,35
MHSnMvrurx,28,0,UX/UI Designer,Masters,39
tKAcxhAVpx,36,2,DevOps Manager,Masters,11
aKlSTQElPU,57,2,Data Scientist,Bachelors,31
RfpeUsEIdp,27,3,Engineering Manager,Masters,3
EPTqvyAhDJ,42,4,Technical Support Specialist,Masters,19
cPSAVfeEgj,38,1,DevOps Manager,Masters,14
sgkRxMFFuo,31,0,Web developer,Masters,6
ZyYJhrDmCg,25,4,Software Engineer,PhD,28
EFEictrwaz,57,4,Software Engineer,Bachelors,27
iRWvgOGhXn,25,5,Technical Project Manager,Bachelors,16
WTBTheRqlx,48,4,DevOps Engineer,Bachelors,2
dHfAvLhfJu,20,3,Web developer,Masters,0
tzFzhDPtoK,29,3,DevOps Manager,Bachelors,27
ftmnvgkoFw,60,5,Software Engineer,Masters,12
BhqRNyhvax,43,0,Technical Project Manager,PhD,21
OzPmuASvJK,51,6,Data Scientist,Bachelors,17
WoucCifiRS,39,4,Product Manager,PhD,27
QoYDPeuOwH,20,3,UX/UI Design Lead,Masters,22
GjkgSIYYDG,54,4,Software Engineer,Bachelors,36
cWnKggtMWk,56,1,Software Engineer,Masters,39
VCZCsNUZtk,46,6,Product Manager,Masters,21
vOohwkWvSZ,36,4,Web developer,Masters,37
CRSvFKXAzg,50,4,DevOps Engineer,Masters,2
GEHcxangJq,51,6,DevOps Engineer,PhD,26
eGyGPjEnAQ,53,4,UX/UI Designer,Bachelors,39
gTImpRYqxQ,23,3,Engineering Manager,Masters,11
YLNSUqmOyi,24,2,Data Analyst,Bachelors,36
nchjiNCayj,34,5,Product Manager,Bachelors,5
qpkOZNteUY,23,4,DevOps Engineer,Masters,4
yiRVvaVTaa,44,5,Product Manager,PhD,16
qDsDnDnajO,23,2,DevOps Engineer,Masters,7
ErTpKQBjns,22,6,Senior Systems Engineer,PhD,9
PFZNgJUeMo,28,3,Technical Support Specialist,Masters,12
SVJSiFyUBa,32,0,Product Manager,PhD,16
WGalbnwBNY,22,6,Software Engineer,Bachelors,36
qahHucbIVJ,26,2,Systems Engineer,Masters,4
EBmHVKmTiW,22,5,DevOps Manager,Masters,22
mTrAzEjtdp,44,2,Product Manager,Bachelors,34
ufjcfSATFv,42,5,Web developer,Bachelors,8
MOuDsREclI,31,5,Senior Systems Engineer,PhD,35
QPXcpGxUoz,45,5,UX/UI Design Lead,PhD,17
bHfCtKxqfk,36,0,Technical Project Manager,Masters,36
oIsxjWZsaa,58,4,UX/UI Designer,PhD,35
wmJWiZLpYV,46,4,Data Scientist,Masters,6
OWGHKNGZMW,38,2,Product Manager,PhD,14
XOWfZbdrve,48,4,Web developer,Bachelors,11
JkgERCYTPK,41,0,Software Engineer,Bachelors,9
AWVeozAeCD,54,5,Data Scientist,Bachelors,16
YwHwNmhUhI,22,3,Systems Engineer,Masters,22
OpMZDMnewK,27,0,UX/UI Designer,PhD,24
cxdcwaBigQ,54,0,Product Manager,Masters,19
LYOouJWxuf,29,3,Data Scientist,Masters,34
OnTmbgcjgC,58,4,Technical Project Manager,PhD,17
bjQOszwdxV,42,5,Data Analyst,Masters,28
hFjQVkeccF,39,1,DevOps Manager,PhD,10
UpQhEbJJOA,24,2,Web developer,Bachelors,36
RhWTgytJXS,22,4,Software Engineer,Bachelors,20
lpepjsioCd,25,6,Senior Systems Engineer,Masters,28
sAGiVXnXvn,60,1,DevOps Engineer,Bachelors,27
MrvoAydcGA,48,0,Technical Support Specialist,Masters,22
uIlTmeIkoh,59,2,Senior Systems Engineer,PhD,26
